eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
1,12,4,2.72796,2.86031,0.793876,1.1169,1.56441,0.202868
1,12,5,2.28021,2.36221,0.660611,1.12006,2.07774,0.202679
1,12,6,1.87132,1.91374,0.55363,1.11383,3.02866,0.208068
1,12,7,1.46918,1.48223,0.426294,1.11179,4.64674,0.206263
1,12,8,1.10009,1.0897,0.311814,1.09676,-2.67767,0.206147
1,13,0,2.30398,2.44661,2.9601,1.12584,-0.427782,0.525378
1,13,1,5.13534,5.73168,2.07935,1.12719,1.28143,0.253732
1,13,2,3.87725,4.22571,1.15417,1.12575,1.61904,0.202197
1,13,3,3.23587,3.46754,0.915628,1.131,1.68001,0.194715
1,13,4,2.72796,2.87704,0.756835,1.12618,1.72687,0.193523
1,13,5,2.28021,2.37354,0.652332,1.12178,2.12469,0.200036
1,13,6,1.87132,1.91515,0.530863,1.12413,3.13663,0.199707
1,13,7,1.46918,1.48279,0.419111,1.11275,5.37376,0.203334
1,13,8,1.10009,1.09039,0.301901,1.10545,-3.06908,0.199596
1,14,0,2.30398,2.43237,2.93242,1.1328,-0.683839,0.522256
1,14,1,5.13534,5.7107,2.02384,1.13712,1.2658,0.247342
1,14,2,3.87725,4.20907,1.11323,1.13437,1.65104,0.195541
1,14,3,3.23587,3.45264,0.885972,1.13347,1.87647,0.189628
1,14,4,2.72796,2.86191,0.728071,1.13577,1.76097,0.186652
1,14,5,2.28021,2.35728,0.629348,1.1268,2.50648,0.194202
1,14,6,1.87132,1.89631,0.522153,1.12126,5.33206,0.19827
1,14,7,1.46918,1.46943,0.399288,1.12281,242.709,0.194887
1,14,8,1.10009,1.07876,0.293769,1.11258,-0.506746,0.195088
1,15,0,2.30398,2.24936,2.70345,1.19282,9.78062,0.499481
1,15,1,5.13534,5.29464,1.84952,1.23234,-4.32906,0.22367
1,15,2,3.87725,3.89717,0.981473,1.20746,-14.4759,0.172999
1,15,3,3.23587,3.19667,0.814728,1.18615,5.68932,0.17603
1,15,4,2.72796,2.64442,0.665697,1.18007,2.88937,0.173645
1,15,5,2.28021,2.17613,0.555346,1.17394,1.70931,0.175197
1,15,6,1.87132,1.75308,0.472332,1.15717,1.22386,0.183906
1,15,7,1.46918,1.35536,0.353423,1.15355,1.13804,0.178362
1,15,8,1.10009,0.993404,0.260852,1.13375,1.04869,0.180331
2,0,0,2.32687,2.27477,2.92796,1.01509,0.377438,0.556276
2,0,1,5.21015,5.03622,2.46763,1.01853,1.45654,0.321108
2,0,2,3.92315,3.82508,1.53924,1.01471,1.55955,0.281407
2,0,3,3.27651,3.1913,1.29513,1.0145,1.15092,0.283047
2,0,4,2.75306,2.69482,1.07216,1.01245,1.44736,0.279954
2,0,5,2.29719,2.25944,0.914192,1.00944,2.07198,0.284461
2,0,6,1.88343,1.85029,0.756078,1.01883,1.54443,0.284457
2,0,7,1.48011,1.45779,0.588732,1.01872,0.636155,0.282343
2,0,8,1.10101,1.09425,0.427868,1.01371,3.06969,0.277743
2,1,0,2.32687,2.30398,4.15729,0.504463,0.367649,0.780663
2,1,1,5.21015,5.13534,5.15231,0.503411,1.29549,0.664285
2,1,2,3.92315,3.87725,3.54882,0.504792,2.1872,0.643207
2,1,3,3.27651,3.23587,2.96341,0.505857,1.00657,0.642748
2,1,4,2.75306,2.72796,2.47312,0.502774,1.31712,0.642211
2,1,5,2.29719,2.28021,2.07044,0.50614,2.91586,0.641252
2,1,6,1.88343,1.87132,1.72273,0.505925,1.67082,0.644608
2,1,7,1.48011,1.46918,1.35169,0.503589,-0.00284001,0.645413
2,1,8,1.10101,1.10009,0.984987,0.504643,4.40768,0.639449
2,2,0,2.32687,2.32687,5.37401,-2.04926e-07,inf,1
2,2,1,5.21015,5.21015,7.82015,0,-inf,1
2,2,2,3.92315,3.92315,5.53214,0,-inf,1
2,2,3,3.27651,3.27651,4.64777,0,-inf,1
2,2,4,2.75306,2.75306,3.86973,0,inf,1
2,2,5,2.29719,2.29719,3.22795,0,-inf,1
2,2,6,1.88343,1.88343,2.67965,0,inf,1
2,2,7,1.48011,1.48011,2.1099,0,inf,1
2,2,8,1.10101,1.10101,1.53963,0,-inf,1
2,3,0,2.32687,2.3508,4.25065,0.50488,-0.185297,0.782595
2,3,1,5.21015,5.28803,5.2417,0.505557,1.06925,0.663901
2,3,2,3.92315,3.97941,3.57819,0.50484,1.36924,0.642079
2,3,3,3.27651,3.31196,3.01211,0.505971,1.08064,0.64377
2,3,4,2.75306,2.78045,2.50798,0.503898,0.443974,0.64272
2,3,5,2.29719,2.32041,2.09423,0.500954,0.838997,0.644217
2,3,6,1.88343,1.8903,1.72584,0.508938,0.959058,0.642498
2,3,7,1.48011,1.48593,1.36507,0.506241,0.812388,0.645169
2,3,8,1.10101,1.10438,0.990472,0.502789,-0.327192,0.641126
